rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A2BQ92	36.865	1.86e-94	308	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775817	777175	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A0Q565	37.637	6.77e-93	304	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775811	777175	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A3QJQ7	39.525	2.05e-92	303	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775811	777190	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A4G9W6	38.803	5.80e-92	301	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775829	777175	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1SBT8	39.246	1.06e-90	298	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775829	777175	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1JTC3	38.852	4.90e-90	296	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775823	777175	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1AXS8	35.619	1.39e-89	295	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775826	777175	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1ALB2	40.839	6.37e-89	293	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775823	777175	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1WZS9	39.956	7.93e-88	290	93	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775823	777175	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A0KQX6	39.778	4.23e-88	290	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775829	777172	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1SZH6	38.512	7.54e-87	286	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775811	777175	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A3MND6	40.444	5.61e-83	275	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775829	777172	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1KBP7	39.216	4.92e-82	273	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775829	777190	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A3MZV4	38.512	1.53e-81	271	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775811	777175	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A2SD80	37.446	1.06e-76	258	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775829	777190	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1AZN6	38.652	2.81e-73	247	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775823	777154	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1USU8	34.234	2.30e-69	236	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775826	777154	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A0RNZ5	32.080	7.66e-67	228	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775823	777172	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1TUE2	36.034	4.86e-66	227	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775829	777181	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
NAG1P-URIDYLTRANS-RXN	N-acetylglucosamine-1-phosphate uridyltransferase	2.7.7.23		UniRef90_A1VJM6	34.177	1.24e-61	214	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	775829	777172	|PWY0-1261|	good_blast	NA	rxn00293 rxn28025 rxn32390 	NA	0	1
RXN0-5227	peptidoglycan LD-carboxypeptidase	3.4.17.13	NA									|PWY0-1261|	no_blast	NA	rxn08926 rxn08927 rxn08928 rxn08929 rxn08930 rxn18066 rxn26150 	NA	0	NA
RXN0-2361	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase	6.3.2.45	NA	UniRef90_P37773	29.703	2.00e-35	136	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	203842	205293	|PWY0-1261|	bad_blast	NA	 	NA	0	NA
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A0L6Y9	38.952	1.13e-72	244	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878506	1879822	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A1TKY2	36.526	5.26e-64	220	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878506	1879810	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A1VK35	36.136	5.28e-64	219	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878506	1879810	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A1B3F9	35.240	5.39e-64	219	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878506	1879810	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A5FYN4	40.183	1.24e-62	215	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878506	1879810	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A5CER5	33.879	7.10e-62	213	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878518	1879801	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A3N1T6	36.073	6.40e-62	213	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878512	1879816	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A1SA71	36.866	7.22e-62	213	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878506	1879798	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A5V4L0	36.961	1.23e-60	210	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878506	1879810	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A3QI66	35.253	2.17e-60	209	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878506	1879804	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7		UniRef90_A1WR98	35.613	1.76e-57	200	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1878548	1879810	|PWY0-1261|	good_blast	NA	rxn00461 	NA	0	1
UDPNACETYLMURAMATEDEHYDROG-RXN	UDP-N-acetylenolpyruvoylglucosamine reductase	1.3.1.98		UniRef90_A1UAM4	38.916	8.90e-60	204	95	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1972137	1973345	|PWY0-1261|	good_blast	NA	 	NA	0	1
BIOTINLIG-RXN	biotin-[acetyl-CoA-carboxylase] ligase	6.3.4.15	NA	UniRef90_P0CI75	26.117	3.10e-09	54.7	75	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1919486	1920340	|PWY0-1264|	bad_blast	NA	rxn00792 rxn06726 rxn06864 rxn19236 	NA	0	NA
RXN-7101	RXN-7101		NA									|PWY0-1264|	spontaneous	NA	 	NA	0	NA
BIOTIN-CARBOXYL-RXN	biotin carboxylase	6.3.4.14		UniRef90_P46392	41.368	8.06e-124	399	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1921499	1923325	|PWY0-1264|	good_blast	NA	rxn05320 rxn06672 rxn19235 rxn27736 rxn31681 	Subunit 1	0	1
BIOTIN-CARBOXYL-RXN	biotin carboxylase	6.3.4.14		sp|P24182|ACCC_ECOLI	41.203	7.76e-96	312	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1921505	1922833	|PWY0-1264|	good_blast	NA	rxn05320 rxn06672 rxn19235 rxn27736 rxn31681 	Subunit undefined	0	1
RXN0-5055	acetyl-CoA carboxyltransferase	2.1.3.15	NA									|PWY0-1264|	no_blast	NA	rxn05321 rxn06673 	Subunit 1	0	1
RXN0-5055	acetyl-CoA carboxyltransferase	2.1.3.15		sp|P9WQH5|PCC6_MYCTU	39.457	5.57e-97	317	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1923639	1925072	|PWY0-1264|	good_blast	NA	rxn05321 rxn06673 	Subunit 2	0	1
RXN0-5055	acetyl-CoA carboxyltransferase	2.1.3.15		tr|P96890|P96890_MYCTU	41.475	1.48e-125	404	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1921508	1923325	|PWY0-1264|	good_blast	NA	rxn05321 rxn06673 	Subunit undefined	0	1
RXN0-5098	octanoate-non-lipoylated apo domain ligase	6.3.1.20	NA									|PWY0-1275|	no_blast	NA	 	NA	0	NA
RXN0-949	lipoyl synthase	2.8.1.8	NA									|PWY0-1275|	no_blast	NA	rxn07581 rxn07582 rxn14033 rxn26483 rxn27532 	NA	0	NA
GLYCOLALD-DEHYDROG-RXN	glycolaldehyde dehydrogenase	1.2.1.21	NA									|PWY0-1280|	no_blast	NA	rxn00979 rxn01053 	NA	0	NA
GLYCOLALDREDUCT-RXN	glycolaldehyde reductase	1.1.1.77		UniRef90_P0A9S2	56.693	1.33e-139	436	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2090429	2091571	|PWY0-1280|	good_blast	NA	rxn01305 rxn01615 rxn02209 rxn15317 	NA	0	1
CYTIDEAM2-RXN	cytidine deaminase	3.5.4.5	NA									|PWY0-1295|	no_blast	NA	rxn01368 rxn01800 rxn11749 rxn30003 	NA	0	NA
URPHOS-RXN	uridine phosphorylase	2.4.2.2	NA	UniRef90_Q4FVM5	26.437	0.86	25.0	76	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1099054	1099314	|PWY0-1295|	bad_blast	NA	rxn01366 rxn01648 rxn01650 rxn20642 	NA	0	NA
URPHOS-RXN	uridine phosphorylase	2.4.2.3	NA	UniRef90_Q4FVM5	26.437	0.86	25.0	76	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1099054	1099314	|PWY0-1295|	bad_blast	NA	rxn01366 rxn11757 	NA	0	NA
XANTHOSINEPHOSPHORY-RXN	xanthosine phosphorylase	2.4.2.1	NA	UniRef90_P94338	34.081	2.74e-32	121	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1253771	1253112	|PWY0-1296|	bad_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	NA
ADENPHOSPHOR-RXN	adenosine phosphorylase	2.4.2.1	NA	UniRef90_P94338	34.081	2.74e-32	121	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1253771	1253112	|PWY0-1296|	bad_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	NA
ADENODEAMIN-RXN	adenosine deaminase	3.5.4.4	NA	UniRef90_P94338	34.081	2.74e-32	121	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1253771	1253112	|PWY0-1296|	bad_blast	NA	rxn01137 rxn01858 rxn29985 	NA	0	NA
INOPHOSPHOR-RXN	inosine phosphorylase	2.4.2.1	NA	UniRef90_P94338	34.081	2.74e-32	121	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1253771	1253112	|PWY0-1296|	bad_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	NA
RXN0-5199	guanosine phosphorylase	2.4.2.15	NA	UniRef90_Q4FVM5	26.437	0.86	25.0	76	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1099054	1099314	|PWY0-1296|	bad_blast	NA	rxn01358 rxn01548 	NA	0	NA
RXN0-5199	guanosine phosphorylase	2.4.2.1	NA	UniRef90_P94338	34.081	2.74e-32	121	84	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1253771	1253112	|PWY0-1296|	bad_blast	NA	rxn01138 rxn01358 rxn01446 rxn01548 rxn01646 rxn01647 rxn01649 rxn01684 rxn01799 rxn01859 rxn01985 rxn19453 rxn19455 rxn19457 rxn20597 rxn22072 rxn22093 rxn24218 	NA	0	NA
PPENTOMUT-RXN	phosphodeoxyribomutase	5.4.2.7	NA									|PWY0-1296|	no_blast	NA	rxn00778 rxn01986 rxn15115 rxn19378 rxn32641 	NA	0	NA
ARGDECARBOX-RXN	arginine decarboxylase, degradative	4.1.1.19	NA									|PWY0-1299|	no_blast	NA	rxn00405 	NA	0	NA
RXN0-5216	2-O-(6-phospho-alpha-mannosyl)-D-glycerate hydrolase	3.2.1	NA									|PWY0-1300|	no_blast	NA	 	NA	0	NA
GKI-RXN	glycerate 2-kinase	2.7.1.165		UniRef90_P23524	49.465	1.08e-97	315	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	626676	625555	|PWY0-1300|	good_blast	NA	rxn08647 	NA	0	1
ALPHAGALACTOSID-RXN	alpha-galactosidase	3.2.1.22		UniRef90_G1UB44	31.754	9.17e-82	281	76	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	1693121	1694803	|PWY0-1301|	good_blast	full	rxn00817 rxn00818 rxn00819 rxn00890 rxn00977 rxn02093 rxn02583 rxn02596 rxn02822 rxn03838 rxn06701 rxn07000 rxn07011 rxn07041 rxn07062 rxn09983 rxn09984 rxn11587 rxn11609 rxn11988 rxn15138 rxn15139 rxn15140 rxn15141 rxn15142 rxn15143 rxn15152 rxn15153 rxn15179 rxn15379 rxn15380 rxn15415 rxn15416 rxn15417 rxn15418 rxn15444 rxn15445 rxn15468 rxn15469 rxn15541 rxn22382 rxn31367 rxn32051 rxn33339 	NA	0	1
RXN0-5217	aminopropylcadaverine synthase	2.5.1	NA									|PWY0-1303|	no_seq_data	NA	 	NA	0	NA
LYSDECARBOX-RXN	lysine decarboxylase	4.1.1.18	NA									|PWY0-1303|	no_blast	NA	rxn00322 	NA	0	NA
GLUTDECARBOX-RXN	glutamate decarboxylase B	4.1.1.15	NA									|PWY0-1305|	no_blast	NA	rxn00194 rxn00346 rxn01231 rxn01784 	NA	0	NA
RXN0-5229	L-galactonate oxidoreductase	1.1.1.414	NA	tr|A6KWY5|A6KWY5_BACV8	30.258	2.79e-19	85.9	75	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	925522	924731	|PWY0-1306|	bad_blast	NA	 	NA	0	NA
RXN0-7001	chitin disaccharide deacetylase	3.5.1.105	NA									|PWY0-1309|	no_blast	NA	rxn19294 	NA	0	NA
RXN0-7002	monoacetylchitobiose-6-phosphate hydrolase	3.2.1.86	NA									|PWY0-1309|	no_blast	NA	rxn00608 rxn03481 rxn03482 rxn07049 rxn08025 rxn15078 	NA	0	NA
ACETATEKIN-RXN	acetate kinase	2.7.2.15		UniRef90_A1JIM9	35.878	5.42e-75	250	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780964	782121	|PWY0-1312|	good_blast	full	rxn00985 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.15		UniRef90_A1JTT9	37.129	2.01e-74	249	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780955	782142	|PWY0-1312|	good_blast	full	rxn00985 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A4T166	48.101	6.47e-119	376	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780955	782139	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A1T2Y9	47.895	1.09e-114	364	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	781000	782139	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A1UAA8	48.000	1.16e-112	359	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780955	782139	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A0Q0Z5	46.096	2.29e-109	349	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782145	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A5CPD5	49.751	4.42e-109	348	100	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780946	782151	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A0QQK1	49.490	9.68e-109	347	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780964	782139	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A5N802	43.467	5.57e-101	325	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782145	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A6LHA9	43.687	1.12e-100	324	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782145	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A0RP54	42.748	4.08e-99	320	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782139	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A4J6A8	45.153	1.07e-94	307	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782130	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A6KXS0	44.810	7.42e-92	299	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782139	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A0LIB0	42.386	1.61e-90	295	96	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782130	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A5FE24	40.657	3.15e-90	294	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782145	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A0JZZ4	42.677	1.51e-88	289	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782154	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A1S5P6	38.205	1.63e-84	278	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782130	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A4VSL6	40.102	8.43e-78	258	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780955	782127	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A5EVU0	37.722	5.83e-77	256	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782142	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A3QFL1	39.000	3.08e-77	256	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780961	782139	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A3N011	38.213	2.75e-73	245	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782142	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A4VIM1	35.411	3.54e-72	242	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780958	782148	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A1R050	35.641	1.20e-69	235	97	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780967	782118	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
ACETATEKIN-RXN	acetate kinase	2.7.2.1		UniRef90_A4XYH6	33.417	8.84e-62	212	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	780958	782139	|PWY0-1312|	good_blast	full	rxn00225 	NA	0	1
PHOSACETYLTRANS-RXN	phosphate acetyltransferase	2.3.1.8		UniRef90_P39646	50.482	4.11e-92	296	94	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	779897	780814	|PWY0-1312|	good_blast	full	rxn00173 	NA	0	1
PHOSACETYLTRANS-RXN	phosphate acetyltransferase	2.3.1.8		UniRef90_O52593	46.246	8.15e-78	256	98	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	779849	780817	|PWY0-1312|	good_blast	full	rxn00173 	NA	0	1
ACETATE--COA-LIGASE-RXN	acetyl-CoA synthetase (AMP-forming)	6.2.1.1	NA	UniRef90_Q2G512	23.560	1.48e-18	87.0	78	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	446629	448209	|PWY0-1313|	bad_blast	NA	rxn00175 rxn00176 rxn00226 rxn33879 	NA	0	NA
1PFRUCTPHOSN-RXN	1-phosphofructokinase	2.7.1.56	NA	UniRef90_P44330	26.374	1.07e-10	58.9	85	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	346555	347343	|PWY0-1314|	bad_blast	NA	rxn01492 rxn02314 rxn33698 	NA	0	NA
LACTALDREDUCT-RXN	L-1,2-propanediol oxidoreductase	1.1.1.77		UniRef90_P0A9S2	56.693	1.33e-139	436	99	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	2090429	2091571	|PWY0-1315|	good_blast	full	rxn01305 rxn01615 rxn02209 rxn15317 	NA	0	1
L-LACTDEHYDROGFMN-RXN	lactate oxidation		NA									|PWY0-1317|	no_blast	NA	 	NA	0	NA
LACTALDDEHYDROG-RXN	L-lactaldehyde dehydrogenase	1.2.1.22	NA									|PWY0-1317|	no_blast	NA	rxn00149 rxn01053 rxn32268 	NA	0	NA
CDPDIGLYSYN-RXN	phosphatidate cytidylyltransferase	2.7.7.41	NA	UniRef90_Q9CBU1	28.840	1.40e-24	100	90	NC_004307.2 Bifidobacterium longum NCC2705, complete sequence	452884	453798	|PWY0-1319|	bad_blast	NA	rxn05272 rxn06043 rxn08306 rxn08307 rxn08308 rxn08309 rxn08310 rxn08311 rxn08312 rxn10220 rxn10221 rxn10222 rxn10223 rxn10224 rxn10225 rxn10457 rxn10992 rxn19270 rxn19272 rxn19273 rxn26359 rxn27745 rxn27746 rxn33925 rxn33926 rxn33928 rxn33930 rxn36659 rxn38533 	NA	0	NA
